Date;PKod;Pgroup;Pname;Pquantity;pce_zn;pwa_zn;pce_sn;pwa_sn;pce_sb;pwa_sb;pudzsb;pmarza;pmarzajedn;pkwmarza;pudzmarza,,,,,,,,,,,,
01.01.2018;9391;DAIRY_CHESSE;GOS.MLEKO ZAGESZCZ.NIE/S?.Z MAGNEZEM 500;13;3,25;42,25;4,95;64,35;5,2;67,6;0,08;34,34;1,7;22,1;0,23,
01.01.2018;1477;DAIRY_CHESSE;GOS.MLEKO ZAGESZCZ/SLODZONE 533G;1;5,09;5,09;6,62;6,62;6,95;6,95;0,01;23,11;1,53;1,53;0,2,
01.01.2018;1178;DAIRY_CHESSE;GOS.SMIETANKA 12% 250ML GOSTYN;62;1,48;91,76;2,35;145,7;2,47;153,14;0,17;37,02;0,87;53,94;0,56,
01.01.2018;1179;DAIRY_CHESSE;GOS.SMIETANKA 18% 250ML GOSTYN;57;1,76;100,32;2,47;140,79;2,59;147,63;0,17;28,74;0,71;40,47;0,42,
01.01.2018;3829;DAIRY_CHESSE;GOS.SMIETANKA 30% 1L GOSTYN;5;6,11;30,55;5,33;26,65;5,59;27,97;0,03;-14,63;-0,78;-3,9;-0,4,
01.01.2018;1180;DAIRY_CHESSE;GOS.SMIETANKA 30% 250ML GOSTYN;32;2,55;81,6;3,8;121,6;3,99;127,68;0,14;32,89;1,25;40;0,41,,
01.01.2018;1181;DAIRY_CHESSE;GOS.SMIETANKA 30% 500ML GOSTYN;16;5,81;92,96;7,61;121,76;7,99;127,84;0,14;23,65;1,8;28,8;0,3,
01.01.2018;4026;DAIRY_CHESSE;GOS.TWAROG POLTLUSTY/CHUDY LUZ;3,03;10,89;32,94;6,67;20,17;7;21,18;0,02;-63,31;-4,22;-12,77;-0,13,
01.01.2018;6712;CHEMISTRY;GRA PODROZNA WIEZOWIEC;1;13,64;13,64;19,49;19,49;23,97;23,97;0,03;30,02;5,85;5,85;0,6,
01.01.2018;11155;GROATS_RICE_PASTA;GROCH POLÓWKI 0_5 KG STEFIK;9;1,43;12,87;1,9;17,1;1,99;17,91;0,02;24,74;0,47;4,23;0,4,
01.01.2018;7955;GROATS_RICE_PASTA;GROCH ?Ó?YT CA?Y 400GR CENOS;1;1,04;1,04;1,9;1,9;1,99;1,99;0;45,26;0,86;0,86;0,1,,
01.01.2018;8854;CANNED_PATE;GROSZEK BONDUELLE 400G.;2;1,7;3,4;2,95;5,9;3,19;6,38;0,01;42,37;1,25;2,5;0,3,
01.01.2018;4313;GENERAL_FOOD;GROSZEK KON.SLONECZNY OGROD;6;1,18;7,08;1,75;10,5;1,89;11,34;0,01;32,57;0,57;3,42;0,4,
01.01.2018;18220;SWEETS;GRZESKI B/CZEKOL DZIEL;29;0,6;17,4;0,8;23,2;0,99;28,71;0,03;25;0,2;5,8;0,6,,
01.01.2018;18815;SWEETS;GRZESKI GOFROWE 33G;4;0,61;2,44;1,21;4,84;1,49;5,96;0,01;49,59;0,6;2,4;0,2,
01.01.2018;17933;SWEETS;GRZESKI W CZEKOLADZIE 36 G;50;0,79;39,5;0,97;48,5;1,19;59,5;0,07;18,56;0,18;9;0,9,,
01.01.2018;1522;CHEWING_GUM_LOLIPOPS;GUMA AIRWAVES PORZECZKA DRAZE;9;1,44;12,96;2,03;18,27;2,19;19,71;0,02;29,06;0,59;5,31;0,5,
01.01.2018;16649;CHEWING_GUM_LOLIPOPS;GUMA ARBUZ;24;0,27;6,48;0,45;10,8;0,55;13,2;0,01;40;0,18;4,32;0,4,,
01.01.2018;1482;CHEWING_GUM_LOLIPOPS;GUMA FOOTBALL EURO/TURBO;3;0,13;0,39;0,32;0,96;0,39;1,17;0;59,38;0,19;0,57;0,1,,
01.01.2018;19818;CHEWING_GUM_LOLIPOPS;GUMA MAMBA;27;0,46;12,42;0,85;22,95;1,05;28,35;0,03;45,88;0,39;10,53;0,11,
01.01.2018;8093;SWEETS;GUMA MOIST;10;0,15;1,5;0,24;2,4;0,3;3;0;37,5;0,09;0,9;0,1,,,
01.01.2018;1874;CHEMISTRY;GUMA ORBIT 5 LIST.;1;0,93;0,93;1,28;1,28;1,38;1,38;0;27,34;0,35;0,35;0,,,
01.01.2018;8514;CHEWING_GUM_LOLIPOPS;GUMA ORBIT APPLE DRAZE;3;1,03;3,09;1,84;5,52;1,99;5,97;0,01;44,02;0,81;2,43;0,3,
01.01.2018;14454;CHEWING_GUM_LOLIPOPS;GUMA ORBIT BAG PEPPERMINT;4;2,25;9;3,13;12,52;3,38;13,52;0,02;28,12;0,88;3,52;0,4,,
01.01.2018;14444;CHEWING_GUM_LOLIPOPS;GUMA ORBIT BAG SPEARMINT;3;2,25;6,75;3,13;9,39;3,38;10,14;0,01;28,12;0,88;2,64;0,3,
